"iso3","country","region","A01a_cat","A01b_cat","A02a_cat","A02b_cat","A03a_cat","A03b_cat","A04_cat","A05_cat","A06_cat","A06a_cat","A06b_cat","A06c_cat","A06d_cat","A06e_cat","A06f_cat","A07_cat","A08_cat","A09_cat","A10_cat","A11_cat","A12a_cat","A12b_cat","A13_cat","A14_cat","A16_cat","A18_cat","A19_cat","A20_cat","A21_cat","A22_cat","A23_cat","A24_cat","A25_cat","A26_cat","L01_cat","L02_cat","L03_cat","L04_cat","L05_cat","L06_cat","L07_cat","L08_cat","L09_cat","L10_cat","L11_cat","L12_cat","L13a_cat","L13b_cat","L14_cat"
"AFG","Afghanistan","Asia",1,2,0,0,0,1,0,2,1,2,0,0,0,1,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"ARE","United Arab Emirates","Asia",4,4,0,0,1,0,0,0,1,4,3,2,0,2,1,0,4,0,0,0,0,0,3,2,2,2,0,0,0,0,0,1,0,0,0,2,1,1,4,0,1,2,1,1,0,0,0,0,0
"ARM","Armenia","Asia",2,2,0,0,1,1,0,0,1,1,0,2,1,3,0,0,2,1,2,2,1,0,0,2,2,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"AZE","Azerbaijan","Asia",1,1,0,0,1,3,0,0,1,2,0,3,1,1,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,2,0,1,1,4,0,1,0,1,0,0,0,0,1,0
"BGD","Bangladesh","Asia",1,1,1,0,0,0,0,0,1,2,3,0,0,3,0,0,4,0,0,0,0,3,3,2,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,2,1,1,4,2,0,0,0
"BHR","Bahrain","Asia",4,4,0,0,1,0,0,0,1,3,0,2,0,3,1,0,7,2,0,0,0,0,3,2,1,0,1,0,0,0,0,1,0,0,2,2,1,1,5,0,1,2,1,0,3,2,0,0,0
"BRN","Brunei","Asia",5,5,3,4,0,0,0,2,1,4,0,2,0,3,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,2,2,0,0,0,0,0,0
"BTN","Bhutan","Asia",2,2,0,0,0,0,0,0,1,4,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,2,0,4,1,0,0,0
"CHN","China","Asia",1,6,0,0,0,3,0,0,0,99,99,99,99,99,99,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GEO","Georgia","Asia",1,2,0,0,1,3,0,1,1,3,3,2,1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,2,1,0,1,2,0,2,0,5,1,0,0,1,0,0,0,0,0,0
"IDN","Indonesia","Asia",3,3,0,0,2,3,2,0,1,2,3,2,0,1,1,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,0,1,2,4,0,0,2,0
"IND","India","Asia",2,6,0,0,0,0,0,0,1,4,3,2,0,3,0,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,2,0,2,1,0,2,2,2,0,3,0,0,0,0
"IRN","Iran","Asia",4,4,0,1,1,0,0,2,1,2,0,0,0,1,0,0,6,0,0,0,1,0,3,2,2,0,0,1,0,0,0,1,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"IRQ","Iraq","Asia",1,4,0,0,1,0,0,2,1,3,0,0,0,2,1,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0
"ISR","Israel","Asia",1,6,3,0,1,2,0,0,1,1,3,2,0,0,0,0,1,0,2,0,1,2,1,2,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,4,0,0,0,0
"JOR","Jordan","Asia",4,4,0,0,1,0,0,0,1,1,3,2,0,2,1,0,3,0,0,0,0,0,3,2,2,2,1,0,0,0,0,1,0,1,2,0,1,1,0,0,1,0,2,0,0,0,0,0,1
"JPN","Japan","Asia",1,1,0,0,2,3,2,2,1,2,3,0,0,2,1,0,2,1,1,0,1,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0
"KAZ","Kazakhstan","Asia",1,2,0,0,1,3,0,0,1,2,0,0,0,1,0,0,2,0,2,0,0,0,0,2,1,2,1,0,0,0,0,1,0,0,2,0,1,1,4,0,1,0,1,0,4,0,0,0,0
"KGZ","Kyrgyzstan","Asia",2,2,0,0,1,3,0,0,1,2,0,2,0,1,1,0,3,1,2,0,0,0,0,2,1,0,1,0,0,1,0,1,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"KHM","Cambodia","Asia",1,1,0,3,1,0,2,1,1,3,0,2,1,2,1,0,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0
"KOR","South Korea","Asia",1,1,0,0,1,3,1,2,1,2,2,2,1,3,1,0,2,1,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,2,0,1,2,4,1,0,0,0
"KWT","Kuwait","Asia",4,4,0,0,1,0,0,0,0,99,99,99,99,99,99,2,3,0,0,0,0,0,3,2,1,2,1,0,0,0,0,1,0,0,0,0,1,2,4,0,1,2,2,2,3,1,0,0,0
"LAO","Laos","Asia",1,2,0,0,1,3,0,0,1,3,3,2,1,2,1,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,2,0,2,0,3,0,0,0,1
"LBN","Lebanon","Asia",4,4,0,0,1,1,0,0,0,99,99,99,99,99,99,0,4,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0
"LKA","Sri Lanka","Asia",1,1,0,0,2,0,0,0,0,99,99,99,99,99,99,0,2,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,3,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"MMR","Myanmar","Asia",2,2,0,0,0,0,0,0,0,99,99,99,99,99,99,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,2,1,0,2,0,0,0,0
"MNG","Mongolia","Asia",1,2,0,0,1,3,0,0,1,2,3,2,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,1,0
"MYS","Malaysia","Asia",3,1,2,0,1,1,0,0,1,3,0,2,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,1,2,2,0,4,0,0,0,0
"NPL","Nepal","Asia",4,4,0,0,1,0,0,0,0,99,99,99,99,99,99,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"OMN","Oman","Asia",4,4,0,0,1,0,0,0,1,3,3,2,0,2,1,0,6,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,1,2,1,0,3,2,0,0,0
"PAK","Pakistan","Asia",1,1,1,0,0,0,0,0,1,2,3,2,0,3,0,0,3,0,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,2,0,4,2,0,0,0
"PHL","Philippines","Asia",1,1,0,0,0,0,0,2,1,3,0,2,1,2,1,3,5,0,0,0,0,1,3,2,2,0,0,0,1,0,0,1,3,0,1,2,1,1,3,0,1,0,1,0,0,0,0,0,0
"PRK","North Korea","Asia",1,2,0,0,1,3,0,0,0,99,99,99,99,99,99,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"QAT","Qatar","Asia",4,4,0,0,1,0,0,0,1,4,3,2,0,3,1,0,3,2,0,0,1,0,4,2,2,0,0,0,0,0,0,1,0,0,0,2,1,1,4,0,1,2,1,0,0,0,0,0,0
"SAU","Saudi Arabia","Asia",4,4,0,0,1,0,0,0,1,2,3,2,0,2,1,0,3,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,2,1,0,4,2,0,0,0
"SGP","Singapore","Asia",1,6,0,0,2,1,0,0,1,3,3,2,0,3,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,4,1,1,2,2,2,3,0,0,0,0
"SYR","Syria","Asia",4,4,0,0,1,1,0,0,1,2,0,2,0,2,1,0,3,1,0,0,0,0,4,2,1,2,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,1,0,3,2,0,0,0
"TJK","Tajikistan","Asia",1,2,0,0,1,3,2,0,1,2,2,2,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,1,1,5,0,0,0,1,0,4,0,0,0,0
"TKM","Turkmenistan","Asia",1,2,0,0,2,3,2,0,1,2,0,2,0,1,1,0,0,0,2,1,0,0,0,2,1,0,1,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,2,0
"TLS","East Timor","Asia",1,1,0,1,1,3,0,2,1,3,0,2,1,0,1,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,2,0,2,0,0,0,0,0,0
"TUR","Turkey","Asia",3,3,0,0,1,1,1,0,1,2,0,2,0,3,1,0,2,1,2,0,0,0,0,2,2,1,1,0,0,0,1,1,0,1,3,0,1,1,0,0,1,1,1,0,3,1,0,0,1
"TWN","Taiwan","Asia",1,1,0,0,1,3,0,2,1,2,2,2,1,2,1,0,2,1,1,2,0,1,0,2,2,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,0
"UZB","Uzbekistan","Asia",1,2,0,0,1,3,2,0,1,2,3,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,1,1,1,4,0,1,0,1,0,3,0,0,1,0
"VNM","Vietnam","Asia",2,2,0,0,1,3,0,0,1,2,3,2,1,0,1,0,1,1,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,2,0,4,0,0,0,1
"YEM","Yemen","Asia",1,1,0,2,1,0,0,1,0,99,99,99,99,99,99,0,3,0,0,0,0,0,3,2,2,0,1,0,0,0,0,1,0,0,0,2,2,2,4,0,2,2,1,0,0,0,0,0,0
