question,answer,path_to_light_up,associated_mode,citizenship_achieved,child_question,grandchild_question
Q01,Yes,path_1,A02b,,,
Q02,Yes,path_3,A01a,,,
Q02,Yes,path_2,A02b,TRUE,,
Q02,Yes,path_2,A02a,TRUE,,
Q03,Yes,path_5,A01a,TRUE,,
Q03,Yes,path_4,A09,,Q04,
Q03,Yes,path_6,A10,,Q05,
Q03,Yes,path_4,A14,,Q04,Q06
Q03,No,path_5,A01b,TRUE,,
Q04,Yes,path_7,A09,TRUE,,
Q04,Yes,path_8,A14,,Q06,
Q05,Yes,path_10,A10,TRUE,,
Q06,Yes,path_9,A14,TRUE,,
Q07,Yes,path_11,A16,TRUE,,
Q08,Yes,path_12,A18,TRUE,,
Q09,Yes,path_14,A22,TRUE,,
Q10,Yes,path_15,A23,TRUE,,
Q11,Yes,path_16,A24,TRUE,,
Q12,Yes,path_18,A25,TRUE,,
Q13,Yes,path_17,A26,TRUE,,
Q14,Yes,path_23,A08,,Q15,
Q14,Yes,path_23,A13,,Q15,Q16
Q15,Yes,path_25,A08,TRUE,,
Q15,Yes,path_24,A13,,Q16,
Q16,Yes,path_26,A13,TRUE,,
Q17,Yes,path_19,A11,,Q18,
Q17,Yes,path_19,A12a,,Q18,Q19
Q17,Yes,path_19,A12b,,Q18,Q19
Q18,Yes,path_21,A11,TRUE,,
Q18,Yes,path_20,A12a,,Q19,
Q18,Yes,path_20,A12b,,Q19,
Q19,Yes,path_22,A12a,TRUE,,
Q19,No,path_22,A12b,TRUE,,
Q20,Yes,path_39,A07,TRUE,,
Q21,Yes,path_40,A21,TRUE,,
Q22,Yes,path_27,A06a,,Q23,
Q22,Yes,path_28,A06b,,Q24,
Q22,Yes,path_29,A06c,,Q25,
Q22,Yes,path_30,A06d,,Q26,
Q22,Yes,path_31,A06e,,Q27,
Q22,Yes,path_32,A06f,,Q28,
Q23,Yes,path_33,A06a,TRUE,,
Q24,Yes,path_34,A06b,TRUE,,
Q25,Yes,path_35,A06c,TRUE,,
Q26,Yes,path_36,A06d,TRUE,,
Q27,Yes,path_37,A06e,TRUE,,
Q28,Yes,path_38,A06f,TRUE,,
Q29,Yes,path_13,A19,TRUE,,